n_hidden_units,step,epoch,batch_size,embedding_size,keep_prob,random_embedding,multi_granined,multi_granined_out,initial_learning_rate,final_learning_rate,AUC
200,9501,,16,200,0.5,True,True,False,0.001,1e-05,0.785009561982
200,10001,,16,200,0.5,True,True,False,0.001,1e-05,0.784958081232
200,501,,16,200,0.5,False,True,True,0.001,1e-05,0.633633549096
200,1001,,16,200,0.5,False,True,True,0.001,1e-05,0.704022556157
200,1501,,16,200,0.5,False,True,True,0.001,1e-05,0.725964755084
200,2001,,16,200,0.5,False,True,True,0.001,1e-05,0.737168287265
200,2501,,16,200,0.5,False,True,True,0.001,1e-05,0.744861239419
200,3001,,16,200,0.5,False,True,True,0.001,1e-05,0.750855322441
200,3501,,16,200,0.5,False,True,True,0.001,1e-05,0.754889072988
200,4001,,16,200,0.5,False,True,True,0.001,1e-05,0.757072500063
200,4501,,16,200,0.5,False,True,True,0.001,1e-05,0.75911044696
200,5001,,16,200,0.5,False,True,True,0.001,1e-05,0.760427468266
200,5501,,16,200,0.5,False,True,True,0.001,1e-05,0.760387618583
200,6001,,16,200,0.5,False,True,True,0.001,1e-05,0.760428925473
200,6501,,16,200,0.5,False,True,True,0.001,1e-05,0.760354533385
200,7001,,16,200,0.5,False,True,True,0.001,1e-05,0.760341849074
200,7501,,16,200,0.5,False,True,True,0.001,1e-05,0.760341619467
200,8001,,16,200,0.5,False,True,True,0.001,1e-05,0.760469056647
200,8501,,16,200,0.5,False,True,True,0.001,1e-05,0.760561903564
200,9001,,16,200,0.5,False,True,True,0.001,1e-05,0.760661158384
200,9501,,16,200,0.5,False,True,True,0.001,1e-05,0.760742180291
200,10001,,16,200,0.5,False,True,True,0.001,1e-05,0.760858718322
200,501,,16,50,0.5,True,True,True,0.001,1e-05,0.738011191781
200,1001,,16,50,0.5,True,True,True,0.001,1e-05,0.774326809755
200,1501,,16,50,0.5,True,True,True,0.001,1e-05,0.779256250158
200,2001,,16,50,0.5,True,True,True,0.001,1e-05,0.781970146894
200,2501,,16,50,0.5,True,True,True,0.001,1e-05,0.781224444681
200,3001,,16,50,0.5,True,True,True,0.001,1e-05,0.782325559439
200,3501,,16,50,0.5,True,True,True,0.001,1e-05,0.782880431976
200,4001,,16,50,0.5,True,True,True,0.001,1e-05,0.784148263478
200,4501,,16,50,0.5,True,True,True,0.001,1e-05,0.7840807135
200,5001,,16,50,0.5,True,True,True,0.001,1e-05,0.784603688697
200,5501,,16,50,0.5,True,True,True,0.001,1e-05,0.784592483323
200,6001,,16,50,0.5,True,True,True,0.001,1e-05,0.784625378844
200,6501,,16,50,0.5,True,True,True,0.001,1e-05,0.784572229476
200,7001,,16,50,0.5,True,True,True,0.001,1e-05,0.784626292164
200,7501,,16,50,0.5,True,True,True,0.001,1e-05,0.784751252799
200,8001,,16,50,0.5,True,True,True,0.001,1e-05,0.784741514098
200,8501,,16,50,0.5,True,True,True,0.001,1e-05,0.784797641969
200,9001,,16,50,0.5,True,True,True,0.001,1e-05,0.784638967174
200,9501,,16,50,0.5,True,True,True,0.001,1e-05,0.784503417728
200,10001,,16,50,0.5,True,True,True,0.001,1e-05,0.784527976993
200,501,,16,100,0.5,True,True,True,0.001,1e-05,0.757603900964
200,1001,,16,100,0.5,True,True,True,0.001,1e-05,0.778769013725
200,1501,,16,100,0.5,True,True,True,0.001,1e-05,0.781780333555
200,2001,,16,100,0.5,True,True,True,0.001,1e-05,0.784586043187
200,2501,,16,100,0.5,True,True,True,0.001,1e-05,0.78400139426
200,3001,,16,100,0.5,True,True,True,0.001,1e-05,0.784203573976
200,3501,,16,100,0.5,True,True,True,0.001,1e-05,0.784867763077
200,4001,,16,100,0.5,True,True,True,0.001,1e-05,0.784432972087
200,4501,,16,100,0.5,True,True,True,0.001,1e-05,0.784200641871
200,5001,,16,100,0.5,True,True,True,0.001,1e-05,0.785271464845
200,5501,,16,100,0.5,True,True,True,0.001,1e-05,0.78517405007
200,6001,,16,100,0.5,True,True,True,0.001,1e-05,0.785260621138
200,6501,,16,100,0.5,True,True,True,0.001,1e-05,0.784999857297
200,7001,,16,100,0.5,True,True,True,0.001,1e-05,0.78484844806
200,7501,,16,100,0.5,True,True,True,0.001,1e-05,0.784794291597
200,8001,,16,100,0.5,True,True,True,0.001,1e-05,0.784703948332
200,8501,,16,100,0.5,True,True,True,0.001,1e-05,0.784868610431
200,9001,,16,100,0.5,True,True,True,0.001,1e-05,0.7849209014
200,9501,,16,100,0.5,True,True,True,0.001,1e-05,0.784679808278
200,10001,,16,100,0.5,True,True,True,0.001,1e-05,0.784898649104
200,501,,16,200,0.5,True,True,True,0.001,1e-05,0.770117971548
200,1001,,16,200,0.5,True,True,True,0.001,1e-05,0.781162758509
200,1501,,16,200,0.5,True,True,True,0.001,1e-05,0.782810028843
200,2001,,16,200,0.5,True,True,True,0.001,1e-05,0.785096175078
200,2501,,16,200,0.5,True,True,True,0.001,1e-05,0.781575230355
200,3001,,16,200,0.5,True,True,True,0.001,1e-05,0.782926565522
200,3501,,16,200,0.5,True,True,True,0.001,1e-05,0.782363858603
